Id,Station,Address,Latitude,Longitude
327,Bootle (Cumbria),"Bootle, Cumbria LA19, UK",54.281459,-3.371648
328,Bootle New Strand,"New Strand, Stanley Road, Bootle, Merseyside L20 2AB, UK",53.4519631,-2.9919934
329,Bootle Oriel Road,"Bootle Oriel Road, Bootle, Merseyside L20, UK",53.4466354,-2.9957326
330,Borough,"London Borough of Southwark, Greater London, UK",51.4834479,-0.0820877
331,Borough Green & Wrotham,"Borough Green & Wrotham, Borough Green, Kent TN15, UK",51.293216,0.3062724
332,Borth,"Borth, Ceredigion SY24, UK",52.488691,-4.051229
333,Bosham,"Bosham, West Sussex, UK",50.829002,-0.857678
334,Boston,"Boston, Lincolnshire, UK",52.97894,-0.026577
335,Boston Manor,"Manor Lane, Wrangle, Boston, Lincolnshire PE22 9DE, UK",53.0462261,0.1072681
336,Botley,"Botley, Hampshire SO30, UK",50.915254,-1.270672
337,Bottesford,"Bottesford, Leicestershire NG13, UK",52.940232,-0.802883
338,Bounds Green,"Bounds Green, London N11, UK",51.60704,-0.12421
339,Bourne End,"Bourne End, Wooburn Green, Buckinghamshire SL8, UK",51.5765108,-0.7100694
